"ラップ数","タイム","累積時間","距離 km","平均ペース 分／km","勾配調整後のペース（GAP）平均 分／km","平均心拍数 bpm","最大心拍数 bpm","総上昇量 m","総下降量 m","平均パワー W","平均W/kg","最大パワー W","最大W/kg","平均ピッチ spm","平均接地時間 ms","平均GCTバランス %","平均歩幅 m","平均上下動 cm","平均上下動比 %","カロリー C","平均気温","最高ペース 分／km","最高ピッチ spm","移動時間","平均移動ペース 分／km","平均ステップスピードロス cm/秒","平均ステップスピードロス率 %"
"1","5:21.3","5:21.3","1.00","5:21","--","143","155","6","3","--","--","--","--","166","--","--","1.12","--","--","56","--","4:59","177","5:10","5:10","--","--"
"2","5:16.4","10:38","1.00","5:16","--","152","158","4","4","--","--","--","--","173","--","--","1.10","--","--","57","--","5:05","179","5:16.4","5:16","--","--"
"3","5:21.1","15:59","1.00","5:21","--","146","158","3","5","--","--","--","--","168","--","--","1.11","--","--","54","--","4:43","181","5:07","5:07","--","--"
"4","5:16.1","21:15","1.00","5:16","--","154","160","5","8","--","--","--","--","177","--","--","1.07","--","--","58","--","5:03","181","5:16.1","5:16","--","--"
"5","5:13.4","26:28","1.00","5:13","--","162","167","4","2","--","--","--","--","177","--","--","1.08","--","--","59","--","4:53","209","5:13","5:13","--","--"
"6","2:41.6","29:10","0.49","5:28","--","163","166","2","5","--","--","--","--","172","--","--","1.06","--","--","30","--","4:48","209","2:38","5:20","--","--"
"概要","29:10","29:10","5.49","5:19","--","152","167","24","26","--","--","--","--","172","--","--","1.09","--","--","313","--","4:43","209","28:40","5:13","--","--"
