"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","5:47.0","5:47.0","1.00","5:47","--","131","145","4","7","--","--","--","--","162","--","--","1.07","--","--","55","--","5:27","167","5:47.0","5:47","--","--"
"2","5:57.3","11:44","1.00","5:57","--","141","144","6","9","--","--","--","--","161","--","--","1.04","--","--","58","--","5:47","164","5:57","5:57","--","--"
"3","5:58.0","17:42","1.00","5:58","--","143","154","17","12","--","--","--","--","161","--","--","1.04","--","--","59","--","5:56","164","5:58","5:58","--","--"
"4","5:58.2","23:41","1.00","5:58","--","145","149","15","11","--","--","--","--","160","--","--","1.05","--","--","59","--","5:49","162","5:58.2","5:58","--","--"
"5","5:52.1","29:33","1.00","5:52","--","145","151","13","18","--","--","--","--","160","--","--","1.07","--","--","58","--","5:47","164","5:52","5:52","--","--"
"6","5:53.8","35:26","1.00","5:54","--","148","154","8","7","--","--","--","--","160","--","--","1.06","--","--","59","--","5:40","164","5:53.8","5:54","--","--"
"7","5:52.5","41:19","1.00","5:52","--","149","154","5","6","--","--","--","--","160","--","--","1.06","--","--","58","--","5:47","162","5:52","5:52","--","--"
"8","2:08.1","43:27","0.37","5:51","--","150","153","2","0","--","--","--","--","160","--","--","1.07","--","--","21","--","5:46","162","2:07","5:48","--","--"
"概要","43:27","43:27","7.37","5:54","--","143","154","68","69","--","--","--","--","161","--","--","1.06","--","--","426","--","5:27","167","43:25","5:54","--","--"
