"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","6:30.0","6:30.0","1.00","6:30","--","133","145","6","5","--","--","--","--","148","--","--","1.04","--","--","57","--","5:37","168","6:30","6:30","--","--"
"2","6:19.6","12:50","1.00","6:20","--","137","144","6","6","--","--","--","--","158","--","--","1.00","--","--","61","--","5:49","166","6:19.6","6:20","--","--"
"3","6:22.2","19:12","1.00","6:22","--","136","144","5","2","--","--","--","--","158","--","--","0.99","--","--","57","--","6:07","164","6:21","6:21","--","--"
"4","6:29.1","25:41","1.00","6:29","--","131","145","5","4","--","--","--","--","151","--","--","1.02","--","--","54","--","5:58","164","6:13","6:13","--","--"
"5","6:04.1","31:45","1.00","6:04","--","130","142","3","7","--","--","--","--","159","--","--","1.04","--","--","50","--","5:47","164","5:57","5:57","--","--"
"6","6:27.3","38:12","1.00","6:27","--","138","143","5","4","--","--","--","--","158","--","--","0.98","--","--","57","--","5:55","164","6:21","6:21","--","--"
"7","6:20.8","44:33","1.00","6:21","--","139","146","1","1","--","--","--","--","160","--","--","0.98","--","--","57","--","5:34","168","6:20.8","6:21","--","--"
"8","0:39.1","45:12","0.11","6:12","--","139","144","0","0","--","--","--","--","161","--","--","1.00","--","--","6","--","6:10","162","0:38","6:01","--","--"
"概要","45:12","45:12","7.11","6:22","--","135","146","31","29","--","--","--","--","156","--","--","1.01","--","--","400","--","5:34","168","44:40","6:17","--","--"
