"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","2:50.0","2:50.0","0.49","5:45","--","135","149","9","0","--","--","--","--","152","--","--","1.15","--","--","27","--","5:32","168","2:45","5:35","--","--"
"2","5:41.8","8:31.8","1.00","5:42","--","148","155","10","11","--","--","--","--","155","--","--","1.13","--","--","61","--","5:25","167","5:32","5:32","--","--"
"3","6:01.4","14:33","1.00","6:01","--","150","154","22","13","--","--","--","--","164","--","--","1.01","--","--","61","--","5:29","168","6:01.4","6:01","--","--"
"4","6:23.3","20:56","1.00","6:23","--","155","160","45","0","--","--","--","--","163","--","--","0.96","--","--","67","--","5:52","169","6:23","6:23","--","--"
"5","5:58.7","26:55","1.00","5:59","--","144","158","10","26","--","--","--","--","163","--","--","1.02","--","--","57","--","5:42","166","5:58.7","5:59","--","--"
"6","6:22.0","33:17","1.00","6:22","--","152","162","39","6","--","--","--","--","162","--","--","0.97","--","--","64","--","5:58","166","6:22","6:22","--","--"
"7","5:49.1","39:06","1.00","5:49","--","135","167","6","11","--","--","--","--","161","--","--","1.07","--","--","50","--","5:31","169","5:43","5:43","--","--"
"8","6:11.1","45:17","1.00","6:11","--","147","163","26","11","--","--","--","--","161","--","--","1.00","--","--","61","--","5:32","164","6:11","6:11","--","--"
"9","5:48.5","51:06","1.00","5:48","--","144","157","8","12","--","--","--","--","163","--","--","1.06","--","--","56","--","5:05","168","5:48.5","5:48","--","--"
"10","5:47.0","56:53","1.00","5:47","--","147","166","18","10","--","--","--","--","157","--","--","1.10","--","--","56","--","5:24","171","5:45","5:45","--","--"
"11","5:35.0","1:02:28","1.00","5:35","--","140","151","4","50","--","--","--","--","165","--","--","1.09","--","--","49","--","5:21","170","5:35.0","5:35","--","--"
"12","5:35.4","1:08:03","1.00","5:35","--","146","152","15","22","--","--","--","--","161","--","--","1.11","--","--","53","--","5:26","168","5:29","5:29","--","--"
"13","5:37.1","1:13:40","1.00","5:37","--","147","165","14","33","--","--","--","--","165","--","--","1.08","--","--","53","--","5:05","175","5:37","5:37","--","--"
"14","5:39.1","1:19:19","1.00","5:39","--","150","155","0","15","--","--","--","--","162","--","--","1.09","--","--","55","--","5:31","166","5:39","5:39","--","--"
"15","5:43.2","1:25:03","1.00","5:43","--","153","155","3","2","--","--","--","--","159","--","--","1.10","--","--","58","--","5:33","166","5:43.2","5:43","--","--"
"16","5:47.9","1:30:51","1.00","5:48","--","152","158","13","11","--","--","--","--","159","--","--","1.09","--","--","58","--","5:40","166","5:46","5:46","--","--"
"17","5:53.3","1:36:44","1.00","5:53","--","154","164","26","7","--","--","--","--","157","--","--","1.08","--","--","58","--","5:31","172","5:51","5:51","--","--"
"18","5:36.0","1:42:20","1.00","5:36","--","157","172","29","36","--","--","--","--","165","--","--","1.08","--","--","58","--","4:32","185","5:36.0","5:36","--","--"
"19","5:36.6","1:47:56","1.00","5:37","--","149","159","0","29","--","--","--","--","165","--","--","1.08","--","--","53","--","5:24","171","5:36.6","5:37","--","--"
"20","5:53.1","1:53:49","1.00","5:53","--","153","160","4","11","--","--","--","--","156","--","--","1.09","--","--","55","--","5:39","164","5:53","5:53","--","--"
"21","5:45.2","1:59:35","1.00","5:45","--","146","153","4","9","--","--","--","--","161","--","--","1.08","--","--","53","--","5:36","172","5:45","5:45","--","--"
"22","5:01.1","2:04:36","0.87","5:46","--","157","170","13","0","--","--","--","--","161","--","--","1.07","--","--","52","--","5:36","166","5:00","5:45","--","--"
"概要","2:04:36","2:04:36","21.36","5:50","--","149","172","320","323","--","--","--","--","161","--","--","1.07","--","--","1,217","--","4:32","185","2:04:00","5:48","--","--"
