"ラップ数","タイム","累積時間","距離 km","平均ペース 分／km","勾配調整後のペース（GAP）平均 分／km","平均心拍数 bpm","最大心拍数 bpm","総上昇量 m","総下降量 m","平均パワー W","平均W/kg","最大パワー W","最大W/kg","平均ピッチ spm","平均接地時間 ms","平均GCTバランス %","平均歩幅 m","平均上下動 cm","平均上下動比 %","カロリー C","平均気温","最高ペース 分／km","最高ピッチ spm","移動時間","平均移動ペース 分／km","平均ステップスピードロス cm/秒","平均ステップスピードロス率 %"
"1","5:20.4","5:20.4","1.00","5:20","--","136","155","9","7","--","--","--","--","164","--","--","1.14","--","--","52","--","4:57","175","5:14","5:14","--","--"
"2","5:12.1","10:33","1.00","5:12","--","157","160","2","1","--","--","--","--","174","--","--","1.10","--","--","59","--","4:49","177","5:12.1","5:12","--","--"
"3","5:06.0","15:39","1.00","5:06","--","145","160","4","9","--","--","--","--","168","--","--","1.17","--","--","49","--","4:44","181","4:51","4:51","--","--"
"4","5:10.8","20:49","1.00","5:11","--","158","161","6","6","--","--","--","--","176","--","--","1.10","--","--","58","--","4:55","183","5:10.8","5:11","--","--"
"5","5:14.0","26:03","1.00","5:14","--","158","166","4","2","--","--","--","--","176","--","--","1.09","--","--","58","--","5:05","233","5:14.0","5:14","--","--"
"6","2:35.7","28:39","0.48","5:24","--","161","164","4","5","--","--","--","--","175","--","--","1.06","--","--","29","--","5:05","183","2:35","5:23","--","--"
"概要","28:39","28:39","5.48","5:14","--","152","166","29","30","--","--","--","--","172","--","--","1.11","--","--","305","--","4:44","233","28:17","5:10","--","--"
