"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","6:04.8","6:04.8","1.00","6:05","--","130","141","0","0","--","--","--","--","155","--","--","1.06","--","--","58","--","5:56","163","5:59","5:59","--","--"
"2","5:54.5","11:59","1.00","5:54","--","133","143","8","8","--","--","--","--","155","--","--","1.09","--","--","56","--","5:27","164","5:43","5:43","--","--"
"3","5:46.5","17:46","1.00","5:47","--","133","141","6","8","--","--","--","--","159","--","--","1.09","--","--","55","--","5:37","164","5:41","5:41","--","--"
"4","5:53.2","23:39","1.00","5:53","--","138","142","2","2","--","--","--","--","161","--","--","1.06","--","--","57","--","5:42","164","5:53","5:53","--","--"
"5","3:33.7","27:13","0.60","5:55","--","139","145","2","6","--","--","--","--","161","--","--","1.05","--","--","35","--","5:17","177","3:33","5:54","--","--"
"概要","27:13","27:13","4.60","5:55","--","134","145","18","23","--","--","--","--","158","--","--","1.07","--","--","261","--","5:17","177","26:49","5:50","--","--"
