"ラップ数","タイム","累積時間","距離 km","平均ペース 分／km","勾配調整後のペース（GAP）平均 分／km","平均心拍数 bpm","最大心拍数 bpm","総上昇量 m","総下降量 m","平均パワー W","平均W/kg","最大パワー W","最大W/kg","平均ピッチ spm","平均接地時間 ms","平均GCTバランス %","平均歩幅 m","平均上下動 cm","平均上下動比 %","カロリー C","平均気温","最高ペース 分／km","最高ピッチ spm","移動時間","平均移動ペース 分／km","平均ステップスピードロス cm/秒","平均ステップスピードロス率 %"
"1","6:24.5","6:24.5","1.00","6:24","--","127","136","8","10","--","--","--","--","150","--","--","1.04","--","--","58","--","6:12","169","6:19","6:19","--","--"
"2","6:06.9","12:31","1.00","6:07","--","134","143","6","5","--","--","--","--","163","--","--","1.00","--","--","58","--","6:01","174","6:06.9","6:07","--","--"
"3","6:02.3","18:34","1.00","6:02","--","138","144","9","7","--","--","--","--","172","--","--","0.96","--","--","58","--","5:49","177","6:02","6:02","--","--"
"4","2:48.1","21:22","0.46","6:05","--","137","140","0","0","--","--","--","--","173","--","--","0.95","--","--","27","--","6:01","177","2:47","6:02","--","--"
"概要","21:22","21:22","3.46","6:10","--","133","144","23","22","--","--","--","--","163","--","--","0.99","--","--","201","--","5:49","177","21:15","6:08","--","--"
