"ラップ数","タイム","累積時間","距離 km","平均ペース 分／km","勾配調整後のペース（GAP）平均 分／km","平均心拍数 bpm","最大心拍数 bpm","総上昇量 m","総下降量 m","平均パワー W","平均W/kg","最大パワー W","最大W/kg","平均ピッチ spm","平均接地時間 ms","平均GCTバランス %","平均歩幅 m","平均上下動 cm","平均上下動比 %","カロリー C","平均気温","最高ペース 分／km","最高ピッチ spm","移動時間","平均移動ペース 分／km","平均ステップスピードロス cm/秒","平均ステップスピードロス率 %"
"1","5:42.7","5:42.7","1.00","5:43","--","135","151","5","2","--","--","--","--","161","--","--","1.08","--","--","53","--","5:17","175","5:28","5:28","--","--"
"2","5:25.8","11:08","1.00","5:26","--","147","156","6","7","--","--","--","--","173","--","--","1.07","--","--","56","--","5:05","177","5:25.8","5:26","--","--"
"3","5:29.0","16:37","1.00","5:29","--","149","155","3","2","--","--","--","--","172","--","--","1.06","--","--","57","--","5:21","175","5:28","5:28","--","--"
"4","5:38.7","22:16","1.00","5:39","--","148","154","2","0","--","--","--","--","169","--","--","1.05","--","--","58","--","5:25","177","5:32","5:32","--","--"
"5","5:29.0","27:45","1.00","5:29","--","149","156","4","9","--","--","--","--","171","--","--","1.06","--","--","57","--","5:20","179","5:23","5:23","--","--"
"6","5:30.8","33:16","1.00","5:31","--","153","156","4","4","--","--","--","--","173","--","--","1.05","--","--","58","--","5:25","175","5:30.8","5:31","--","--"
"7","9:14.8","42:31","1.00","9:15","--","116","155","9","9","--","--","--","--","127","--","--","0.85","--","--","51","--","5:27","177","9:06","9:06","--","--"
"8","0:50.2","43:21","0.08","10:27","--","104","105","0","0","--","--","--","--","101","--","--","0.95","--","--","4","--","10:23","124","0:50","10:25","--","--"
"概要","43:21","43:21","7.08","6:07","--","139","156","34","33","--","--","--","--","159","--","--","1.02","--","--","395","--","5:05","179","42:44","6:02","--","--"
