"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","4:43.7","4:43.7","1.00","4:44","--","155","165","4","8","--","--","--","--","177","--","--","1.19","--","--","54","--","4:29","183","4:43.7","4:44","--","--"
"2","4:41.1","9:24.7","1.00","4:41","--","165","168","3","2","--","--","--","--","181","--","--","1.18","--","--","57","--","4:33","183","4:41","4:41","--","--"
"3","4:33.7","13:58","1.00","4:34","--","165","168","3","4","--","--","--","--","180","--","--","1.21","--","--","56","--","4:29","183","4:33.7","4:34","--","--"
"4","4:40.2","18:39","1.00","4:40","--","164","167","2","1","--","--","--","--","180","--","--","1.19","--","--","56","--","4:30","183","4:40","4:40","--","--"
"5","1:21.4","20:00","0.29","4:37","--","163","164","5","1","--","--","--","--","179","--","--","1.21","--","--","16","--","4:41","182","1:21","4:35","--","--"
"6","0:01.1","20:01","0.01","2:27","--","164","164","0","0","--","--","--","--","177","--","--","2.31","--","--","0","--","4:42","177","0:01","2:17","--","--"
"概要","20:01","20:01","4.30","4:39","--","162","168","17","16","--","--","--","--","179","--","--","1.20","--","--","239","--","4:29","183","20:00","4:39","--","--"
