"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","5:35.9","5:35.9","1.00","5:36","--","142","151","6","1","--","--","--","--","166","--","--","1.07","--","--","57","--","5:20","175","5:35","5:35","--","--"
"2","5:21.6","10:57","1.00","5:22","--","152","156","2","3","--","--","--","--","171","--","--","1.09","--","--","59","--","5:01","175","5:21","5:21","--","--"
"3","5:29.8","16:27","1.00","5:30","--","152","156","3","2","--","--","--","--","170","--","--","1.07","--","--","58","--","5:14","177","5:29.8","5:30","--","--"
"4","5:25.7","21:53","1.00","5:26","--","150","155","5","8","--","--","--","--","173","--","--","1.06","--","--","56","--","5:16","177","5:25.7","5:26","--","--"
"5","5:26.6","27:19","1.00","5:27","--","156","160","6","5","--","--","--","--","175","--","--","1.05","--","--","59","--","5:22","179","5:26.6","5:27","--","--"
"6","4:09.5","31:29","0.75","5:31","--","157","163","2","4","--","--","--","--","173","--","--","1.05","--","--","46","--","4:59","187","4:08","5:29","--","--"
"概要","31:29","31:29","5.75","5:28","--","151","163","23","23","--","--","--","--","171","--","--","1.07","--","--","334","--","4:59","187","31:26","5:28","--","--"
