"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","5:16.4","5:16.4","1.00","5:16","--","141","154","3","2","--","--","--","--","166","--","--","1.14","--","--","55","--","4:52","173","5:16.4","5:16","--","--"
"2","5:00.6","10:17","1.00","5:01","--","155","164","4","3","--","--","--","--","170","--","--","1.18","--","--","56","--","4:26","175","5:00.6","5:01","--","--"
"3","5:10.1","15:27","1.00","5:10","--","141","157","3","9","--","--","--","--","164","--","--","1.18","--","--","50","--","4:55","173","4:59","4:59","--","--"
"4","5:19.5","20:47","1.00","5:19","--","150","155","5","2","--","--","--","--","167","--","--","1.12","--","--","56","--","5:16","173","5:19","5:19","--","--"
"5","5:27.8","26:14","1.00","5:28","--","151","154","1","1","--","--","--","--","167","--","--","1.09","--","--","58","--","5:08","193","5:27.8","5:28","--","--"
"6","2:34.8","28:49","0.47","5:33","--","152","158","0","1","--","--","--","--","166","--","--","1.08","--","--","27","--","5:17","171","2:34","5:31","--","--"
"概要","28:49","28:49","5.47","5:16","--","148","164","16","17","--","--","--","--","167","--","--","1.14","--","--","303","--","4:26","193","28:37","5:14","--","--"
