"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","6:01.6","6:01.6","1.00","6:02","--","138","151","7","1","--","--","--","--","155","--","--","1.07","--","--","57","--","5:47","166","5:51","5:51","--","--"
"2","5:41.9","11:44","1.00","5:42","--","147","154","2","4","--","--","--","--","158","--","--","1.11","--","--","59","--","5:30","166","5:35","5:35","--","--"
"3","5:39.8","17:23","1.00","5:40","--","149","154","6","4","--","--","--","--","161","--","--","1.10","--","--","59","--","5:34","166","5:33","5:33","--","--"
"4","5:42.7","23:06","1.00","5:43","--","148","157","0","0","--","--","--","--","161","--","--","1.09","--","--","58","--","5:24","172","5:38","5:38","--","--"
"5","5:26.6","28:33","1.00","5:27","--","147","157","5","8","--","--","--","--","157","--","--","1.17","--","--","55","--","4:53","173","5:09","5:09","--","--"
"6","5:38.1","34:11","1.00","5:38","--","154","157","2","2","--","--","--","--","165","--","--","1.08","--","--","58","--","5:35","166","5:38","5:38","--","--"
"7","5:38.2","39:49","1.00","5:38","--","156","159","5","5","--","--","--","--","164","--","--","1.08","--","--","59","--","4:59","187","5:38","5:38","--","--"
"8","0:52.8","40:42","0.16","5:32","--","154","156","0","0","--","--","--","--","163","--","--","1.11","--","--","9","--","5:37","164","0:52","5:27","--","--"
"概要","40:42","40:42","7.16","5:41","--","148","159","26","23","--","--","--","--","160","--","--","1.10","--","--","415","--","4:53","187","39:54","5:34","--","--"
