"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","平均心拍数","最大心拍数","総上昇量","総下降量","平均ピッチ","平均歩幅","カロリー","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1 - 7","28:17","28:17","5.30","5:20","146","162","38","39","166","1.13","305","3:36","199","28:14","5:20"
"","","ラン","1","5:33.2","5:33.2","1.00","5:33","135","150","6","5","162","1.11","56","5:23","168","5:33.2","5:33"
"","","ラン","2","5:21.7","10:55","1.00","5:22","148","155","6","10","167","1.12","59","5:12","171","5:21","5:21"
"","","ラン","3","5:20.3","16:15","1.00","5:20","149","153","4","4","167","1.12","58","5:10","171","5:20","5:20"
"","","ラン","4","5:20.5","21:36","1.00","5:21","147","152","9","8","165","1.13","58","5:12","168","5:20","5:20"
"","","ラン","5","5:16.2","26:52","1.00","5:16","151","157","9","2","166","1.14","58","5:12","169","5:16","5:16"
"","","ラン","6","1:03.3","27:55","0.20","5:17","151","157","0","10","167","1.13","11","5:11","169","1:02","5:11"
"","","ラン","7","0:22.2","28:17","0.10","3:42","160","162","4","0","188","1.44","5","3:36","199","0:22.2","3:42"
"","","回復","8","1:00","29:17","0.16","6:13","161","168","0","0","160","1.01","11","3:48","191","0:59","6:07"
"","2","ラン","9","0:22.5","29:40","0.10","3:45","151","157","0","0","190","1.40","4","3:32","203","0:22.5","3:45"
"","","回復","10","1:00","30:40","0.16","6:14","161","168","5","3","155","1.03","10","3:39","198","0:59","6:08"
"","3","ラン","11","0:22.2","31:02","0.10","3:42","153","159","0","0","188","1.44","4","3:36","209","0:22.2","3:42"
"","","回復","12","1:00","32:02","0.17","5:55","158","163","0","4","165","1.02","11","3:42","199","0:59","5:49"
"","4","ラン","13","0:00.5","32:03","0.01","1:32","153","153","0","0","0","--","0","6:08","0","0:00.5","1:32"
"","概要","--","--","32:03","32:03","6.00","5:21","148","168","44","46","166","1.12","347","3:32","209","31:57","5:20"
