"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","6:44.0","6:44.0","1.00","6:44","--","127","134","13","11","--","--","--","--","158","--","--","0.94","--","--","57","--","5:29","172","6:44","6:44","--","--"
"2","6:24.7","13:09","1.00","6:25","--","130","137","3","2","--","--","--","--","151","--","--","1.03","--","--","57","--","5:49","162","6:05","6:05","--","--"
"3","1:02.4","14:11","0.17","6:10","--","138","141","0","0","--","--","--","--","159","--","--","1.02","--","--","10","--","6:08","160","1:01","6:01","--","--"
"概要","14:11","14:11","2.17","6:32","--","129","141","16","13","--","--","--","--","155","--","--","0.99","--","--","124","--","5:29","172","13:50","6:23","--","--"
